[2022-07-10 23:34:48,381] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-10 23:34:49,011] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-10 23:34:49,431] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-10 23:34:49,827] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-10 23:34:50,231] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-10 23:34:50,681] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-10 23:34:51,111] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-10 23:34:51,521] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-10 23:34:51,991] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-10 23:34:52,403] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 20:39:58,095] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 20:39:58,499] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 20:39:58,869] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 20:39:59,221] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 20:40:06,231] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 20:40:06,231] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0477321338111139
[2022-07-13 20:40:06,231] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 20:40:06,231] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 20:40:06,231] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 20:40:06,231] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 20:40:09,245] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 20:40:09,245] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0477321338111139
[2022-07-13 20:40:09,245] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 20:40:09,245] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 20:40:09,245] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 20:40:09,245] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 20:41:19,891] [MAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 20:41:20,273] [MAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 20:41:20,707] [MAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 20:41:21,047] [MAIndicator] [execute] [INFO]: Execute for Symbol LTC
[2022-07-13 20:41:28,051] [MAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 20:41:28,051] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0477321338111139
[2022-07-13 20:41:28,051] [MAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 20:41:28,051] [MAIndicator] [get_results] [INFO]: Percent result is: 1.0622100656578044
[2022-07-13 20:41:28,051] [MAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 20:41:28,051] [MAIndicator] [get_results] [INFO]: Percent result is: 0.41975997687784555
[2022-07-13 20:44:25,528] [MAIndicator] [init_logger] [INFO]: Initialize logger
